id,name,type,url
132,P1,Rikskanal,https://sverigesradio.se/p1
163,P2,Rikskanal,https://sverigesradio.se/p2
164,P3,Rikskanal,https://sverigesradio.se/p3
213,P4 Blekinge,Lokal kanal,https://sverigesradio.se/blekinge/
223,P4 Dalarna,Lokal kanal,https://sverigesradio.se/dalarna/
205,P4 Gotland,Lokal kanal,https://sverigesradio.se/gotland/
210,P4 Gävleborg,Lokal kanal,https://sverigesradio.se/gavleborg/
212,P4 Göteborg,Lokal kanal,https://sverigesradio.se/goteborg/
220,P4 Halland,Lokal kanal,https://sverigesradio.se/halland/
200,P4 Jämtland,Lokal kanal,https://sverigesradio.se/jamtland/
203,P4 Jönköping,Lokal kanal,https://sverigesradio.se/jonkoping/
201,P4 Kalmar,Lokal kanal,https://sverigesradio.se/kalmar/
211,P4 Kristianstad,Lokal kanal,https://sverigesradio.se/kristianstad/
214,P4 Kronoberg,Lokal kanal,https://sverigesradio.se/kronoberg/
207,P4 Malmöhus,Lokal kanal,https://sverigesradio.se/malmo/
209,P4 Norrbotten,Lokal kanal,https://sverigesradio.se/norrbotten/
206,P4 Sjuhärad,Lokal kanal,https://sverigesradio.se/sjuharad/
208,P4 Skaraborg,Lokal kanal,https://sverigesradio.se/skaraborg/
701,P4 Stockholm,Lokal kanal,https://sverigesradio.se/stockholm/
202,P4 Sörmland,Lokal kanal,https://sverigesradio.se/sormland/
218,P4 Uppland,Lokal kanal,https://sverigesradio.se/uppland/
204,P4 Värmland,Lokal kanal,https://sverigesradio.se/varmland/
219,P4 Väst,Lokal kanal,https://sverigesradio.se/vast/
215,P4 Västerbotten,Lokal kanal,https://sverigesradio.se/vasterbotten/
216,P4 Västernorrland,Lokal kanal,https://sverigesradio.se/vasternorrland/
217,P4 Västmanland,Lokal kanal,https://sverigesradio.se/vastmanland/
221,P4 Örebro,Lokal kanal,https://sverigesradio.se/orebro/
222,P4 Östergötland,Lokal kanal,https://sverigesradio.se/ostergotland/
224,SR Sápmi,Minoritet och språk,https://sverigesradio.se/sameradion
226,Sveriges Radio Finska,Minoritet och språk,https://sverigesradio.se/finska
166,P6,Minoritet och språk,https://sverigesradio.se/international
2576,P3 Din gata,Fler kanaler,https://sverigesradio.se/default.aspx?programid=2576
2562,P2 Musik,Fler kanaler,https://sverigesradio.se/tabla.aspx?programid=2562
2755,Radioapans knattekanal,Fler kanaler,https://sverigesradio.se/default.aspx?programid=2755
2383,SR Extra01,Extrakanaler,https://sverigesradio.se/
2384,SR Extra02,Extrakanaler,https://sverigesradio.se/
2385,SR Extra03,Extrakanaler,https://sverigesradio.se/
2386,SR Extra04,Extrakanaler,https://sverigesradio.se/
2387,SR Extra05,Extrakanaler,https://sverigesradio.se/
2388,SR Extra06,Extrakanaler,https://sverigesradio.se/
2389,SR Extra07,Extrakanaler,https://sverigesradio.se/
2390,SR Extra08,Extrakanaler,https://sverigesradio.se/
3268,SR Extra09,Extrakanaler,https://sverigesradio.se/
3269,SR Extra10,Extrakanaler,https://sverigesradio.se/
3703,SR Extra11,Extrakanaler,https://sverigesradio.se/
3704,SR Extra12,Extrakanaler,https://sverigesradio.se/
4842,SR Extra13,Extrakanaler,https://sverigesradio.se/
4866,SR Extra14,Extrakanaler,https://sverigesradio.se/
4868,SR Extra15,Extrakanaler,https://sverigesradio.se/
4540,Ekot sänder direkt,Fler kanaler,https://sverigesradio.se/
4951,P4 Plus,Fler kanaler,https://sverigesradio.se/default.aspx?programid=4951
5283,P4 Södertälje,Lokal kanal,https://sverigesradio.se/sodertalje/
